experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,raw_gap_bytes,composition_gap_bytes,composition_gap_pct,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
nat_silesia_dickens_slice,natural_slice,silesia_dickens@slice262144,becc366f2948cfbaefb219df19f54b101a842737428b01c7538b871a35c3edf4,262144,GF2,31,225,253952,231339,1843200,7231,216,1,32,True,2.751548100000946,0.1634403999778442,2.751548100000946,77252,-154087,-154087,-47827,-0.6191037125252421,raw_gap-154087 comp_gap-47827,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:28:46.488618+00:00,,98593,0.05239949998212978,98581,0.02735180000308901,77252,0.020750600000610575,85788,0.10759869997855276,86981,0.13133830000879243,82527,0.4926026999892201
nat_silesia_mozilla_slice,natural_slice,silesia_mozilla@slice262144,1baf584ca87856e51fada5fa257864019123d57aa8b9793c097eea145ee165a6,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,1.6484429000120144,0.28719979999004863,1.6484429000120144,111811,-150351,-150351,-54,-0.00048295784851222154,raw_gap-150351 no_deduction header_perturbation-54,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:28:50.372199+00:00,,120596,0.041324300022097304,120584,0.037520299985772,122711,0.024615700007416308,113000,0.06975330002023838,113857,0.04740350000793114,111811,0.5728503999998793
nat_silesia_mr_slice,natural_slice,silesia_mr@slice262144,288236c90013320462fbe5864774054b26334be4ee59a8bde8a9797fbc9148f7,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,1.6186849999940023,0.24146750001818873,1.6186849999940023,55898,-206264,-206264,-119,-0.002128877598482951,raw_gap-206264 no_deduction header_perturbation-119,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:28:54.505955+00:00,,79021,0.06559090001974255,79009,0.0639184000028763,55898,0.014458799996646121,61252,0.20009560001199134,70559,0.09905660001095384,62355,0.5950433000107296
nat_silesia_nci_slice,natural_slice,silesia_nci@slice262144,6f129b33bdf149bcdab85d1402a4f6aa4e81c0733f5fe76bb6f82bead260759e,262144,GF2,1,7,262144,229413,1835008,15,216,1,32,True,1.7738441999827046,0.010164000006625429,1.7738441999827046,14563,-214850,-214850,-11065,-0.7598022385497494,raw_gap-214850 comp_gap-11065,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:28:58.202719+00:00,,22000,0.01643849999527447,21988,0.01817799999844283,14563,0.026570999994874,15944,0.12798279998241924,15907,0.2429491999791935,14884,0.5103279999748338
nat_silesia_ooffice_slice,natural_slice,silesia_ooffice@slice262144,41a8f0abe06c5c9e88665870be089e57c9b065bb3c27ac838cca48bcb793cb19,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,2.026534799981164,0.14231870000367053,2.026534799981164,123528,-138634,-138634,-16,-0.00012952528981283597,raw_gap-138634 no_deduction header_perturbation-16,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:02.672097+00:00,,142495,0.02184199998737313,142483,0.022630499996012077,132783,0.020634899992728606,123528,0.09272019998752512,130469,0.07310609999694861,125697,0.8022740000160411
nat_silesia_osdb_slice,natural_slice,silesia_osdb@slice262144,dfafdca22a0cc7b551554126b88105a632275c0251164b07ca47633e97d91a11,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,2.1758809000020847,0.1361287000181619,2.1758809000020847,82475,-179687,-179687,-19,-0.00023037284025462262,raw_gap-179687 no_deduction header_perturbation-19,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:06.861357+00:00,,98799,0.0121342999918852,98787,0.012887999997474253,82475,0.019437499984633178,84560,0.08382369999890216,91627,0.07900289999088272,83930,0.5976934999926016
nat_silesia_reymont_slice,natural_slice,silesia_reymont@slice262144,63949f06bead1d6e40964427389b88df91aaf71e8f908e2e40fb968db3d8f682,262144,GF2,1,7,262144,229413,1835008,15,216,1,32,True,2.310849999979837,0.01996190001955256,2.310849999979837,53158,-176255,-176255,-24988,-0.47007035629632415,raw_gap-176255 comp_gap-24988,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:11.034504+00:00,,72353,0.06604760000482202,72341,0.07108160000643693,53158,0.018532799993408844,62048,0.14314030000241473,63402,0.12848059998941608,62041,0.4918967999983579
nat_silesia_samba_slice,natural_slice,silesia_samba@slice262144,21c5e99f13f8cac5e099fa4c8898831d3929b068e35cae2f1a4fa424f9804d7b,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,1.9856877999845892,0.22328750000451691,1.9856877999845892,153153,-109009,-109009,-45,-0.00029382382323558796,raw_gap-109009 no_deduction header_perturbation-45,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:15.217967+00:00,,163070,0.01424560000305064,163058,0.013228600000729784,161546,0.02608809998491779,156704,0.07692970000789501,157923,0.09052099997643381,153153,0.7010562999930698
nat_silesia_sao_slice,natural_slice,silesia_sao@slice262144,2e897282e031856af823048d977bddaf54869d43dea72ba544bec003d353db3a,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,1.9557411999849137,0.14332740000099875,1.9557411999849137,167536,-94626,-94626,148,0.0008833922261484099,raw_gap-94626 no_deduction header_perturbation+148,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:19.523771+00:00,,195943,0.03232959998422302,195931,0.03397789999144152,182638,0.032013799995183945,167536,0.09650099999271333,187928,0.06631559997913428,173425,0.7712398000003304
nat_silesia_webster_slice,natural_slice,silesia_webster@slice262144,357ddb5945737ae814b8e6f5eb83fb1abe2d1a4cb9d76f4104a3e258f19f2208,262144,GF2,1,7,262144,229413,1835008,15,216,1,32,True,2.3367743999988306,0.015132400003494695,2.3367743999988306,62139,-167274,-167274,-37157,-0.5979658507539548,raw_gap-167274 comp_gap-37157,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:23.664865+00:00,,79166,0.02083279998623766,79154,0.020103499991819263,62139,0.02112489999854006,69508,0.10070389998145401,70631,0.10984600000665523,65448,0.49473419997957535
nat_silesia_x-ray_slice,natural_slice,silesia_x-ray@slice262144,51c0a846c6cbe121f3f734d32100d60fd8bdd5b79ea9506d72608665e5fef7b1,262144,GF2,58,198,475136,204255,1622016,11740,216,4,32,True,2.6071052000042982,0.13980820000870153,2.6071052000042982,129632,-74623,-74623,-57729,-0.4453298568254752,raw_gap-74623 comp_gap-57729,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:28.597214+00:00,,182634,0.012212500005261973,182622,0.011413900007028133,129632,0.017464400007156655,137292,0.07931529998313636,165393,0.10620989999733865,141029,0.9157672000001185
nat_silesia_xml_slice,natural_slice,silesia_xml@slice262144,f2bbde07c2061c09fa41e4d4998c07847fbcc23d4ab166ca105a7f66ac8cd37b,262144,GF2,1,7,262144,229413,1835008,15,216,1,32,True,2.2781675000151154,0.010056600003736094,2.2781675000151154,11559,-217854,-217854,-17365,-1.502292585863829,raw_gap-217854 comp_gap-17365,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:32.345637+00:00,,16115,0.010445899999467656,16103,0.010468599997693673,11559,0.0235677000018768,13060,0.06754109999747016,12994,0.15678310001385398,11799,0.38597370000206865
nat_enwik8_slice,natural_slice,enwik8@slice262144,0cdfd008d5327addbf5b118b4a8d616a8cc2971627727b10bfb20e97920881e7,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,1.9315485999977682,0.22036380000645295,1.9315485999977682,73306,-188856,-188856,-39,-0.0005320164788693968,raw_gap-188856 no_deduction header_perturbation-39,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:36.510580+00:00,,90519,0.030357300012838095,90507,0.02348800000618212,75951,0.03313149997848086,79120,0.10792710000532679,81801,0.09193860000232235,73306,0.6423688999784645
nat_sdrbench_exaalt_vx_slice,natural_slice,sdrbench_exaalt2869440_vx.f32@slice262144,4a7274ecf55ef46c2c9315898e87ecaa1604ba2478338046366856ad6cd872a2,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,2.086177499993937,0.017320399987511337,2.086177499993937,226805,-10814,-10814,-10819,-0.04770177024316043,raw_gap-10814 comp_gap-10819,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:40.662373+00:00,,241886,0.014516999974148348,241874,0.014764399995328858,226805,0.028239699982805178,231732,0.07540180001524277,237689,0.0373925999738276,238394,0.6113606999861076
nat_sdrbench_exaalt_vy_slice,natural_slice,sdrbench_exaalt2869440_vy.f32@slice262144,048529c77afa1110a4c2171c4fbc89a45ea4547547d1468597081a75d08e73e7,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,2.4167474000132643,0.021581899985903874,2.4167474000132643,226808,-10811,-10811,-10816,-0.04768791224295439,raw_gap-10811 comp_gap-10816,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:45.265534+00:00,,241902,0.01506800000788644,241890,0.012989000009838492,226808,0.028700700000626966,232408,0.08462329997564666,237721,0.08462909999070689,238467,0.7840282999968622
nat_sdrbench_exaalt_vz_slice,natural_slice,sdrbench_exaalt2869440_vz.f32@slice262144,97aa02f7015b4d0f17a376152e51208e1d45021d67341c1bc33e016a0f93d472,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,2.1890966999926604,0.016966900002444163,2.1890966999926604,226655,-10964,-10964,-10969,-0.04839513798504335,raw_gap-10964 comp_gap-10969,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:49.799201+00:00,,242037,0.013810700009344146,242025,0.014278499991632998,226655,0.032019799982663244,232256,0.07599420001497492,237691,0.05506420001620427,238531,0.6366361000109464
nat_sdrbench_exaalt_xx_slice,natural_slice,sdrbench_exaalt2869440_xx.f32@slice262144,e606d0bd9463c442aebf3d6ba72ef2290e92d564c0b7cedc0512135244dabd83,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,2.0941829000075813,0.018485700013116002,2.0941829000075813,224585,-13034,-13034,-11576,-0.05154395885744818,raw_gap-13034 comp_gap-11576,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:54.459101+00:00,,242461,0.014444900007219985,242449,0.022101499984273687,224585,0.06255969998892397,227868,0.14244630001485348,237132,0.06825340000796132,234663,0.5572426000144333
nat_sdrbench_exaalt_yy_slice,natural_slice,sdrbench_exaalt2869440_yy.f32@slice262144,faa41a228bd98532d74417ab24464a9dd7009ecdbc2d7c6c35e22d75f22b77b6,262144,GF2,29,227,237568,233342,1859584,6868,216,4,32,True,2.4260424000094645,0.09229110000887886,2.4260424000094645,187128,-46214,-46214,-44290,-0.23668291223120003,raw_gap-46214 comp_gap-44290,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:29:59.202724+00:00,,220881,0.013762900023721159,220869,0.013210499979322776,187128,0.026591200003167614,187944,0.0973093000066001,205318,0.051545900001656264,217730,0.7160911000100896
nat_sdrbench_exaalt_zz_slice,natural_slice,sdrbench_exaalt2869440_zz.f32@slice262144,145a27d495fb529df112cd9422333cb07aec58147a4a7752251e439d269b1a1c,262144,GF2,3,29,196608,237619,1900544,122,216,6,32,True,2.2586126000096556,0.025063599983695894,2.2586126000096556,215238,-22381,-22381,-22336,-0.10377349724491028,raw_gap-22381 comp_gap-22336,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:30:03.508954+00:00,,236531,0.016052599996328354,236519,0.016562299977522343,215238,0.029738100012764335,216120,0.08562579998397268,227716,0.049870100017869845,229816,0.784826899995096
nat_uci_household_power_text_slice,natural_slice,uci_household_power_text@slice262144,9f1454454bcc7ef097b21c8a931794c89eda2df9b66a8424b176466e11535fc4,262144,GF2,60,196,491520,202241,1605632,12016,216,0,32,True,2.2463707999850158,0.14435970000340603,2.2463707999850158,28160,-174081,-174081,-29828,-1.0592329545454546,raw_gap-174081 comp_gap-29828,730df5d11d30354ead50fa5b6a0dc3077f821111-dirty,2026-08-29T14:30:08.028581+00:00,,42249,0.061682899977313355,42237,0.05572139998548664,28521,0.015732100000604987,28160,0.12289279999095015,32706,0.26353530000778846,29390,0.7060167999879923
nat_silesia_dickens_slice,natural_slice,silesia_dickens@slice262144,becc366f2948cfbaefb219df19f54b101a842737428b01c7538b871a35c3edf4,262144,GF2,31,225,253952,231339,1843200,7231,216,1,32,True,2.4515361999801826,0.1274037999974098,2.4515361999801826,77252,-154087,-154087,-47827,-0.6191037125252421,raw_gap-154087 comp_gap-47827,133bb60c54548a2c8dfbc73c3ecee7e669732238-dirty,2026-08-29T14:31:16.303288+00:00,,98593,0.03370629998971708,98581,0.027497700008098036,77252,0.020294399990234524,85788,0.1724609000084456,86981,0.28889209998305887,82527,0.7659173000138253
nat_silesia_mozilla_slice,natural_slice,silesia_mozilla@slice262144,1baf584ca87856e51fada5fa257864019123d57aa8b9793c097eea145ee165a6,262144,PASSTHROUGH,0,2097152,0,262162,2097152,0,112,0,32,True,2.575804699998116,0.2923919000022579,2.575804699998116,111811,-150351,-150351,-54,-0.00048295784851222154,raw_gap-150351 no_deduction header_perturbation-54,133bb60c54548a2c8dfbc73c3ecee7e669732238-dirty,2026-08-29T14:31:21.379265+00:00,,120596,0.03343779998249374,120584,0.030224099988117814,122711,0.023824500007322058,113000,0.0687208000163082,113857,0.07572200000868179,111811,0.7235504999989644
